volume,volume weighted,open,close,high,low,time
103088.0,369.4959,369.47,369.605,369.6299,369.36,2022-09-28 19:00:00
623226.0,370.6423,370.54,370.58,370.86,370.44,2022-09-28 20:00:00
7795.0,370.1776,370.11,370.25,370.25,370.11,2022-09-28 21:00:00
25669.0,370.3476,370.25,370.5,370.5,370.25,2022-09-28 22:00:00
4577.0,369.8995,369.89,369.9,369.9,369.89,2022-09-28 23:00:00
7606.0,365.8802,366.02,365.47,367.48,364.0,2022-09-29 08:00:00
16565.0,366.3673,366.3,366.12,366.55,366.12,2022-09-29 09:00:00
11030.0,367.5696,367.57,367.55,367.6,367.47,2022-09-29 10:00:00
12937.0,367.2823,367.07,367.36,367.36,367.02,2022-09-29 11:00:00
91755.0,367.6855,367.17,367.22,368.51,366.2504,2022-09-29 12:00:00
23082.0,365.6313,365.77,365.61,365.96,365.5,2022-09-29 13:00:00
465072.0,363.0542,363.19,362.65,363.33,362.64,2022-09-29 14:00:00
228540.0,362.6337,362.56,362.75,362.96,362.4049,2022-09-29 15:00:00
125626.0,363.9277,364.0,363.95,364.09,363.83,2022-09-29 16:00:00
101150.0,362.1552,362.275,362.1,362.28,362.07,2022-09-29 17:00:00
421707.0,360.2606,360.51,360.2,360.52,360.08,2022-09-29 18:00:00
199094.0,360.1202,359.92,360.175,360.36,359.883,2022-09-29 19:00:00
1421882.0,367.064,362.83,363.28,363.39,362.78,2022-09-29 20:00:00
4950.0,363.2428,363.24,363.2,363.28,363.17,2022-09-29 21:00:00
34742.0,362.9731,362.99,362.9,363.1,362.85,2022-09-29 22:00:00
1822.0,363.8667,363.83,363.9,363.91,363.83,2022-09-29 23:00:00
9769.0,366.0802,366.02,366.08,366.13,366.02,2022-09-30 08:00:00
8645.0,366.4995,366.5,366.45,366.5,366.45,2022-09-30 09:00:00
277.0,365.2151,365.2,365.2,365.2,365.2,2022-09-30 10:00:00
6504.0,364.6815,364.6,364.69,364.76,364.6,2022-09-30 11:00:00
60932.0,364.0383,363.68,363.78,366.5604,363.0002,2022-09-30 12:00:00
91125.0,363.7713,363.52,363.3,364.5,363.22,2022-09-30 13:00:00
407401.0,362.9931,363.08,362.85,363.33,362.62,2022-09-30 14:00:00
207834.0,364.3339,364.2,364.33,364.52,364.15,2022-09-30 15:00:00
372751.0,362.7504,362.96,362.6,362.98,362.58,2022-09-30 16:00:00
407486.0,362.6706,362.63,362.5324,362.708,362.48,2022-09-30 17:00:00
235636.0,360.8253,360.98,360.82,360.9999,360.64,2022-09-30 18:00:00
281326.0,359.531,359.33,359.77,359.81,359.15,2022-09-30 19:00:00
2082078.0,360.6851,357.12,357.87,357.97,357.02,2022-09-30 20:00:00
1483.0,357.9816,357.95,358.02,358.03,357.95,2022-09-30 21:00:00
789.0,358.0553,358.08,358.08,358.08,358.08,2022-09-30 22:00:00
897.0,357.8529,357.86,357.85,357.86,357.85,2022-09-30 23:00:00
7231.0,357.4217,358.0,357.32,358.0,357.31,2022-10-03 08:00:00
3355.0,357.3358,357.44,357.25,357.44,357.25,2022-10-03 09:00:00
387.0,358.013,358.09,358.09,358.09,358.09,2022-10-03 10:00:00
17662.0,359.083,359.12,359.2,359.2,358.94,2022-10-03 11:00:00
98972.0,359.3073,359.0001,359.82,360.03,356.76,2022-10-03 12:00:00
14150.0,361.1088,361.11,361.2,361.2,361.07,2022-10-03 13:00:00
773174.0,361.6241,360.6,361.96,362.18,360.58,2022-10-03 14:00:00
185370.0,364.3988,364.3111,364.32,364.54,364.25,2022-10-03 15:00:00
146808.0,363.9408,363.78,363.99,364.12,363.73,2022-10-03 16:00:00
131758.0,364.4397,364.29,364.385,364.56,364.24,2022-10-03 17:00:00
124858.0,365.7346,365.67,365.8601,365.88,365.665,2022-10-03 18:00:00
224877.0,368.1161,368.115,368.125,368.19,368.01,2022-10-03 19:00:00
673564.0,366.7283,366.6,366.77,366.88,366.52,2022-10-03 20:00:00
8413.0,366.8446,366.98,366.93,366.99,366.75,2022-10-03 21:00:00
13508.0,367.3099,367.04,367.33,367.46,367.04,2022-10-03 22:00:00
5277.0,366.5151,366.48,366.48,366.55,366.48,2022-10-03 23:00:00
21686.0,371.7376,372.0,371.92,372.0,369.18,2022-10-04 08:00:00
612.0,372.3317,372.4,372.35,372.4,372.35,2022-10-04 10:00:00
8407.0,372.6986,372.8,372.62,372.8,372.62,2022-10-04 11:00:00
105505.0,372.5003,372.6999,372.47,373.4204,371.3604,2022-10-04 12:00:00
16712.0,372.3595,372.46,372.35,372.46,372.2,2022-10-04 13:00:00
812687.0,376.4655,376.01,376.58,376.83,376.01,2022-10-04 14:00:00
277298.0,377.2521,377.22,377.1586,377.46,377.05,2022-10-04 15:00:00
186370.0,377.0413,377.03,377.02,377.11,376.98,2022-10-04 16:00:00
106141.0,376.2172,376.16,376.28,376.295,376.13,2022-10-04 17:00:00
124858.0,376.3585,376.295,376.4,376.465,376.27,2022-10-04 18:00:00
228419.0,377.0039,377.0978,377.135,377.15,376.86,2022-10-04 19:00:00
1141319.0,372.8463,377.89,377.74,377.98,377.63,2022-10-04 20:00:00
872.0,377.794,377.84,377.77,377.84,377.66,2022-10-04 21:00:00
19966.0,377.4407,377.66,377.36,377.71,377.36,2022-10-04 22:00:00
2195.0,377.0067,377.1,377.03,377.1,376.97,2022-10-04 23:00:00
33204.0,375.7463,375.32,375.21,376.3,375.21,2022-10-05 08:00:00
325.0,374.992,374.98,374.98,374.98,374.98,2022-10-05 09:00:00
1130.0,374.1599,374.11,374.15,374.2,374.11,2022-10-05 10:00:00
4193.0,375.2956,375.3,375.2,375.39,375.2,2022-10-05 11:00:00
84683.0,374.7534,375.24,374.55,375.34,374.14,2022-10-05 12:00:00
4905.0,373.9519,373.99,373.96,373.99,373.91,2022-10-05 13:00:00
960686.0,373.4669,374.28,373.03,374.34,372.89,2022-10-05 14:00:00
243187.0,371.4123,371.34,371.6,371.64,371.21,2022-10-05 15:00:00
60563.0,372.9177,373.05,372.85,373.11,372.75,2022-10-05 16:00:00
153410.0,375.2186,375.27,375.1893,375.2992,375.15,2022-10-05 17:00:00
154866.0,375.8165,375.83,375.7899,375.99,375.73,2022-10-05 18:00:00
353317.0,378.0209,377.69,378.01,378.23,377.69,2022-10-05 19:00:00
725271.0,377.5148,377.1,377.54,377.67,377.07,2022-10-05 20:00:00
3311.0,377.002,376.94,377.04,377.04,376.88,2022-10-05 21:00:00
6004.0,376.9046,376.92,376.86,376.95,376.86,2022-10-05 22:00:00
718.0,377.4933,377.5,377.5,377.5,377.5,2022-10-05 23:00:00
3126.0,376.9312,377.06,376.82,377.48,376.79,2022-10-06 08:00:00
2920.0,375.5698,375.54,375.51,375.68,375.51,2022-10-06 09:00:00
10693.0,374.5013,374.55,374.51,374.55,374.48,2022-10-06 10:00:00
